epoch,loss,val_loss
0,9.419707656,8.562334061
1,4.987019041,8.490925789
2,5.40121279,8.381830215
3,4.628312786,7.372431278
4,4.672147024,7.090301514
5,3.891270106,7.382105827
6,4.47062047,7.061735471
7,5.227539303,6.25882864
8,5.164444423,7.049155712
9,4.893616862,6.015043736
10,4.687796674,6.021947861
11,4.96918735,5.898105621
12,4.455404606,6.032227039
13,4.708589802,6.199928284
14,4.22769855,6.149055004
15,4.88208708,6.696553707
16,4.175744576,6.625933647
17,4.686239541,6.427082539
18,4.465490446,6.305475235
19,4.659776924,5.802611828
20,3.896543725,5.91238006
21,4.311674454,5.75025034
22,4.351734371,5.719906807
23,4.385905211,5.724380493
24,4.116952173,5.513674259
25,4.43190789,5.599833965
26,3.871019776,5.489778042
27,4.371236439,5.898522854
28,4.123480701,6.112329006
29,4.817908847,6.429827213
30,3.961931953,6.675424099
31,4.203558772,6.819141388
32,4.20561435,5.889787197
33,4.161172713,5.863007704
34,4.112374997,5.080118656
35,4.591537471,5.278748989
36,4.145264103,5.711368084
37,4.119908633,5.374492645
38,4.059610798,5.101085663
39,4.244560885,5.15403223
40,4.401189904,5.531706674
35,4.525340219,5.472970963
36,4.104979577,5.31968832
37,4.668788354,5.689034939
38,4.395834899,5.460981846
39,4.517355366,5.535002708
40,4.386029096,5.560388565
41,4.609709675,6.058518569
42,4.217245655,5.784323215
43,4.780935355,5.851191521
44,4.564121869,5.643729687
45,4.537687314,6.125994682
46,4.004531374,6.434540749
47,4.290160587,5.671816349
48,3.807281876,5.193285624
49,4.375957091,5.026984692
49,4.557194276,5.429465771
50,4.215027671,5.577774048
51,4.27556947,5.309136868
52,4.153122213,5.482559681
53,4.259901752,5.080649853
54,4.212725134,5.080118656
55,4.170251868,5.220791976
56,4.036992939,5.862070084
57,4.462852243,5.622229099
58,3.709352751,4.987808704
59,4.558819764,5.275033474
60,4.105429988,5.202602863
61,3.920291858,5.304493427
62,4.073422775,5.30883503
63,4.215290067,5.076076508
64,3.97169271,5.19220686
65,4.109367185,5.159881115
66,3.905582187,5.139615536
67,4.334578943,5.008640766
68,3.993880873,5.002882004
69,3.996525102,5.887134075
70,4.236328814,5.641821861
71,4.161563826,5.566770554
72,4.024687228,5.531227589
73,4.499999156,5.26756525
74,3.710437191,5.329146862
59,4.805048847198487,5.053581237792969
60,4.528798489570618,4.996376991271973
61,5.061255731582642,4.89996337890625
62,5.119616317749023,5.001430034637451
63,4.267733449935913,4.885430812835693
64,4.58081850528717,4.935181140899658
65,4.3930374836921695,4.946743329366048
66,4.354670577049255,4.966040134429932
67,5.0068633928895,4.894245147705078
68,4.697900171279907,4.873473167419434
69,4.863138165473938,4.852991104125977
70,4.31406172990799,4.976370334625244
71,4.527335987091065,4.953099727630615
72,4.48924489736557,4.995976289113362
73,4.95139859199524,4.770414352416992
74,4.268108556270599,4.76772403717041
75,4.529785957336426,4.934803485870361
76,4.253569266200065,4.880948543548584
77,4.7135549163818355,4.7724809646606445
78,4.278910202980041,4.8131794929504395
79,4.699115295410156,5.613610744476318
80,4.18674985408783,5.447367191314697
81,5.209506669044495,5.397147178649902
82,4.444069359302521,5.2332587242126465
83,4.768304762840271,5.2726826667785645
84,4.4059423226207945,5.161041736602783
85,4.414838876783477,5.00276247660319
86,4.509515333175659,4.722550392150879
87,4.5169207072257995,4.673868179321289
88,4.502653415203095,4.501248359680176
89,4.371278741359711,4.5460524559021
90,4.799828324317932,4.540740489959717
91,4.770958032608032,4.417624473571777
92,4.1703715944290165,4.868577820914132
93,4.298909748925103,5.437638282775879
94,4.291201133198208,5.416900634765625
95,4.625973224639893,5.615551948547363
96,4.779962797164917,5.456027030944824
97,4.334172694683075,5.018474578857422
98,4.132770967483521,4.973388360894245
99,4.809228084087372,4.679674536682839
